"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"2","2.115019549","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"3","4.234098738","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"4","6.352680806","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"5","8.470727094","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"6","10.587500760","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"7","15.314282063","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"8","15.770473421","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"9","15.771345377","fe80::e62b:d1db:2bd6:4437","ff02::fb","MDNS","101","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"10","15.772957711","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"11","15.773563948","fe80::e62b:d1db:2bd6:4437","ff02::fb","MDNS","101","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"12","15.774517413","fe80::e62b:d1db:2bd6:4437","ff02::1:3","LLMNR","95","Standard query 0x69e2 A BRW4C82A94B53F9"
"13","15.774517592","192.168.153.1","224.0.0.252","LLMNR","75","Standard query 0x69e2 A BRW4C82A94B53F9"
"14","20.308747610","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"15","25.312612513","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"16","27.428925195","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"17","29.536438247","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"18","30.359829444","fe80::6ffa:8a8e:a8ca:5b63","ff02::2","ICMPv6","62","Router Solicitation"
"19","31.651964819","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"20","32.120736463","VMware_96:a6:89","Broadcast","ARP","42","Who has 192.168.153.1? Tell 192.168.153.128"
"21","32.121308009","VMware_c0:00:01","VMware_96:a6:89","ARP","60","192.168.153.1 is at 00:50:56:c0:00:01"
"22","32.121325561","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x3cd7 A avatars.githubusercontent.com"
"23","32.121394083","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x7944 HTTPS avatars.githubusercontent.com"
"24","32.177034149","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x7603 A default.exp-tas.com"
"25","32.177493906","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x1a85 HTTPS default.exp-tas.com"
"26","33.132353915","192.168.153.128","192.168.153.1","DNS","89","Standard query 0xff7f A avatars.githubusercontent.com"
"27","33.132469208","192.168.153.128","192.168.153.1","DNS","89","Standard query 0xe98a HTTPS avatars.githubusercontent.com"
"28","33.189055798","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xbeb7 A default.exp-tas.com"
"29","33.189200558","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xf6eb HTTPS default.exp-tas.com"
"30","33.237493219","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xdd6e A main.vscode-cdn.net"
"31","33.237634506","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xcf57 HTTPS main.vscode-cdn.net"
"32","33.761796150","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"33","34.075209004","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x6084 A update.code.visualstudio.com"
"34","34.075671826","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xdc37 HTTPS update.code.visualstudio.com"
"35","34.248709020","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x8129 A main.vscode-cdn.net"
"36","34.249330640","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xdbc3 HTTPS main.vscode-cdn.net"
"37","35.062788958","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xb52c A mobile.events.data.microsoft.com"
"38","35.063024833","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x8e28 HTTPS mobile.events.data.microsoft.com"
"39","35.086720917","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x769f A update.code.visualstudio.com"
"40","35.086932356","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x67d2 HTTPS update.code.visualstudio.com"
"41","35.160298999","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x1f54 A avatars.githubusercontent.com"
"42","35.210194014","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x3a94 A default.exp-tas.com"
"43","35.472799050","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xf639 A api.github.com"
"44","35.472981342","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xd4dc HTTPS api.github.com"
"45","35.616229276","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x45f6 A default.exp-tas.com"
"46","35.616307468","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xb5f4 AAAA default.exp-tas.com"
"47","35.870079900","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"48","36.076147547","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xaf4a A mobile.events.data.microsoft.com"
"49","36.076351971","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x5ea6 HTTPS mobile.events.data.microsoft.com"
