"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"2","2.110595049","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"3","4.220942482","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"4","10.004354183","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"5","15.006712877","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"6","20.005530260","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"7","22.114138947","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"8","24.225769814","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"9","29.053624462","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"10","29.054217102","fe80::4c15:5bf5:ef58:2ff6","ff02::fb","MDNS","101","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"11","29.055234110","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"12","29.055680662","fe80::4c15:5bf5:ef58:2ff6","ff02::fb","MDNS","101","Standard query 0x0000 A BRW4C82A94B53F9.local, ""QM"" question"
"13","29.056301124","fe80::4c15:5bf5:ef58:2ff6","ff02::1:3","LLMNR","95","Standard query 0x2aa1 A BRW4C82A94B53F9"
"14","29.056301226","192.168.17.1","224.0.0.252","LLMNR","75","Standard query 0x2aa1 A BRW4C82A94B53F9"
"15","35.000110884","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"16","39.997175968","192.168.17.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"17","40.726835047","fe80::4c15:5bf5:ef58:2ff6","ff02::c","UDP","718","50918  >  3702 Len=656"
"18","40.727368168","192.168.17.1","239.255.255.250","UDP","698","50917  >  3702 Len=656"
"19","40.867510200","192.168.17.1","239.255.255.250","UDP","698","50917  >  3702 Len=656"
"20","40.868081255","fe80::4c15:5bf5:ef58:2ff6","ff02::c","UDP","718","50918  >  3702 Len=656"
"21","41.148597272","192.168.17.1","239.255.255.250","UDP","698","50917  >  3702 Len=656"
"22","41.148850724","fe80::4c15:5bf5:ef58:2ff6","ff02::c","UDP","718","50918  >  3702 Len=656"
"23","41.708812953","192.168.17.1","239.255.255.250","UDP","698","50917  >  3702 Len=656"
